name,depth,path,has_children
TooManyRedirects,2,requests.TooManyRedirects.TooManyRedirects,False
URLRequired,1,requests.URLRequired,True
URLRequired,2,requests.URLRequired.URLRequired,False
delete,1,requests.delete,False
get,1,requests.get,False
head,1,requests.head,False
options,1,requests.options,False
patch,1,requests.patch,False
post,1,requests.post,False
put,1,requests.put,False
request,1,requests.request,False
PreparedRequest,1,requests.PreparedRequest,True
PreparedRequest,2,requests.PreparedRequest.PreparedRequest,False
prepare,2,requests.PreparedRequest.prepare,False
copy,2,requests.PreparedRequest.copy,False
prepare_method,2,requests.PreparedRequest.prepare_method,False
prepare_url,2,requests.PreparedRequest.prepare_url,False
prepare_headers,2,requests.PreparedRequest.prepare_headers,False
